=== SPREAD MONITOR ===
Monitoring 1 pair(s)
Press Ctrl+C to stop

timestamp,pair,spread,hi_pool,tickA,tickB,ageA,ageB
# Fetching initial pool states...
2026-04-15T00:17:52.083Z,SOL/USDC,0.01133%,hi=ts=4,tickA=-24795,tickB=-24796,ageA=0.0s,ageB=0.0s
2026-04-15T00:17:55.163Z,SOL/USDC,0.00934%,hi=ts=4,tickA=-24795,tickB=-24796,ageA=0.0s,ageB=3.1s
2026-04-15T00:17:55.337Z,SOL/USDC,0.00731%,hi=ts=4,tickA=-24795,tickB=-24796,ageA=0.0s,ageB=3.3s
2026-04-15T00:17:55.339Z,SOL/USDC,0.00577%,hi=ts=4,tickA=-24796,tickB=-24796,ageA=0.0s,ageB=3.3s
2026-04-15T00:17:55.435Z,SOL/USDC,0.00195%,hi=ts=4,tickA=-24796,tickB=-24796,ageA=0.0s,ageB=3.4s
2026-04-15T00:17:55.851Z,SOL/USDC,0.01238%,hi=ts=8,tickA=-24797,tickB=-24796,ageA=0.0s,ageB=3.8s
2026-04-15T00:17:55.852Z,SOL/USDC,0.01245%,hi=ts=8,tickA=-24797,tickB=-24796,ageA=0.0s,ageB=3.8s
2026-04-15T00:18:01.131Z,SOL/USDC,0.01241%,hi=ts=8,tickA=-24797,tickB=-24796,ageA=0.0s,ageB=9.0s
2026-04-15T00:18:01.615Z,SOL/USDC,0.01284%,hi=ts=8,tickA=-24797,tickB=-24796,ageA=0.0s,ageB=9.5s
2026-04-15T00:18:01.837Z,SOL/USDC,0.01301%,hi=ts=8,tickA=-24798,tickB=-24796,ageA=0.0s,ageB=9.8s
2026-04-15T00:18:02.341Z,SOL/USDC,0.01834%,hi=ts=8,tickA=-24798,tickB=-24796,ageA=0.0s,ageB=10.3s
2026-04-15T00:18:02.347Z,SOL/USDC,0.01859%,hi=ts=8,tickA=-24798,tickB=-24796,ageA=0.0s,ageB=10.3s
2026-04-15T00:18:02.372Z,SOL/USDC,0.01883%,hi=ts=8,tickA=-24798,tickB=-24796,ageA=0.0s,ageB=10.3s
2026-04-15T00:18:02.398Z,SOL/USDC,0.03686%,hi=ts=8,tickA=-24800,tickB=-24796,ageA=0.0s,ageB=10.3s
2026-04-15T00:18:02.716Z,SOL/USDC,0.03878%,hi=ts=8,tickA=-24800,tickB=-24796,ageA=0.0s,ageB=10.6s
2026-04-15T00:18:02.733Z,SOL/USDC,0.04045%,hi=ts=8,tickA=-24800,tickB=-24796,ageA=0.0s,ageB=10.7s
2026-04-15T00:18:02.758Z,SOL/USDC,0.04069%,hi=ts=8,tickA=-24800,tickB=-24796,ageA=0.0s,ageB=10.7s
2026-04-15T00:18:02.782Z,SOL/USDC,0.04492%,hi=ts=8,tickA=-24801,tickB=-24796,ageA=0.0s,ageB=10.7s
2026-04-15T00:18:02.829Z,SOL/USDC,0.01750%,hi=ts=8,tickA=-24801,tickB=-24799,ageA=0.0s,ageB=0.0s
2026-04-15T00:18:03.256Z,SOL/USDC,0.01774%,hi=ts=8,tickA=-24801,tickB=-24799,ageA=0.0s,ageB=0.4s
2026-04-15T00:18:03.257Z,SOL/USDC,0.02059%,hi=ts=8,tickA=-24801,tickB=-24799,ageA=0.0s,ageB=0.4s
2026-04-15T00:18:03.303Z,SOL/USDC,0.02286%,hi=ts=8,tickA=-24801,tickB=-24799,ageA=0.0s,ageB=0.5s
2026-04-15T00:18:03.328Z,SOL/USDC,0.02801%,hi=ts=8,tickA=-24802,tickB=-24799,ageA=0.0s,ageB=0.5s
2026-04-15T00:18:03.537Z,SOL/USDC,0.02969%,hi=ts=8,tickA=-24802,tickB=-24799,ageA=0.0s,ageB=0.7s
2026-04-15T00:18:03.552Z,SOL/USDC,0.00971%,hi=ts=8,tickA=-24802,tickB=-24801,ageA=0.0s,ageB=0.0s
2026-04-15T00:18:03.859Z,SOL/USDC,0.01185%,hi=ts=8,tickA=-24802,tickB=-24801,ageA=0.0s,ageB=0.3s
2026-04-15T00:18:03.888Z,SOL/USDC,0.01526%,hi=ts=8,tickA=-24802,tickB=-24801,ageA=0.0s,ageB=0.3s
2026-04-15T00:18:03.949Z,SOL/USDC,0.01808%,hi=ts=8,tickA=-24803,tickB=-24801,ageA=0.0s,ageB=0.4s
2026-04-15T00:18:04.108Z,SOL/USDC,0.01815%,hi=ts=8,tickA=-24803,tickB=-24801,ageA=0.0s,ageB=0.6s
2026-04-15T00:18:04.172Z,SOL/USDC,0.01822%,hi=ts=8,tickA=-24803,tickB=-24801,ageA=0.0s,ageB=0.6s
2026-04-15T00:18:04.173Z,SOL/USDC,0.01829%,hi=ts=8,tickA=-24803,tickB=-24801,ageA=0.0s,ageB=0.6s
2026-04-15T00:18:04.173Z,SOL/USDC,0.01865%,hi=ts=8,tickA=-24803,tickB=-24801,ageA=0.0s,ageB=0.6s
2026-04-15T00:18:04.173Z,SOL/USDC,0.01900%,hi=ts=8,tickA=-24803,tickB=-24801,ageA=0.0s,ageB=0.6s
2026-04-15T00:18:11.323Z,SOL/USDC,0.03061%,hi=ts=8,tickA=-24804,tickB=-24801,ageA=0.0s,ageB=7.8s
2026-04-15T00:18:11.323Z,SOL/USDC,0.03085%,hi=ts=8,tickA=-24804,tickB=-24801,ageA=0.0s,ageB=7.8s
2026-04-15T00:18:11.332Z,SOL/USDC,0.03152%,hi=ts=8,tickA=-24804,tickB=-24801,ageA=0.0s,ageB=7.8s
2026-04-15T00:18:11.333Z,SOL/USDC,0.03176%,hi=ts=8,tickA=-24804,tickB=-24801,ageA=0.0s,ageB=7.8s
2026-04-15T00:18:11.333Z,SOL/USDC,0.03201%,hi=ts=8,tickA=-24804,tickB=-24801,ageA=0.0s,ageB=7.8s
2026-04-15T00:18:11.334Z,SOL/USDC,0.03567%,hi=ts=8,tickA=-24805,tickB=-24801,ageA=0.0s,ageB=7.8s
2026-04-15T00:18:11.334Z,SOL/USDC,0.03592%,hi=ts=8,tickA=-24805,tickB=-24801,ageA=0.0s,ageB=7.8s
2026-04-15T00:18:11.335Z,SOL/USDC,0.06668%,hi=ts=8,tickA=-24808,tickB=-24801,ageA=0.0s,ageB=7.8s
2026-04-15T00:18:12.408Z,SOL/USDC,0.02946%,hi=ts=8,tickA=-24808,tickB=-24805,ageA=1.1s,ageB=0.0s
2026-04-15T00:18:14.806Z,SOL/USDC,0.01538%,hi=ts=8,tickA=-24808,tickB=-24806,ageA=3.5s,ageB=0.0s
2026-04-15T00:18:14.937Z,SOL/USDC,0.01574%,hi=ts=8,tickA=-24808,tickB=-24806,ageA=0.0s,ageB=0.1s
2026-04-15T00:18:20.548Z,SOL/USDC,0.03653%,hi=ts=8,tickA=-24810,tickB=-24806,ageA=0.0s,ageB=5.7s
2026-04-15T00:18:20.553Z,SOL/USDC,0.03678%,hi=ts=8,tickA=-24810,tickB=-24806,ageA=0.0s,ageB=5.7s
2026-04-15T00:18:21.279Z,SOL/USDC,0.03676%,hi=ts=8,tickA=-24810,tickB=-24806,ageA=0.0s,ageB=6.5s
2026-04-15T00:18:25.752Z,SOL/USDC,0.03676%,hi=ts=8,tickA=-24810,tickB=-24806,ageA=0.0s,ageB=10.9s
# --- 2026-04-15T00:18:52.105Z | updates: 47 | pools tracked: 2 ---
2026-04-15T00:18:57.986Z,SOL/USDC,0.04226%,hi=ts=8,tickA=-24810,tickB=-24806,ageA=0.0s,ageB=43.2s
2026-04-15T00:18:58.032Z,SOL/USDC,0.04472%,hi=ts=8,tickA=-24811,tickB=-24806,ageA=0.0s,ageB=43.2s
2026-04-15T00:18:58.150Z,SOL/USDC,0.03473%,hi=ts=8,tickA=-24811,tickB=-24807,ageA=0.1s,ageB=0.0s
2026-04-15T00:18:58.895Z,SOL/USDC,0.01050%,hi=ts=8,tickA=-24811,tickB=-24809,ageA=0.9s,ageB=0.0s
2026-04-15T00:18:59.299Z,SOL/USDC,0.00547%,hi=ts=4,tickA=-24811,tickB=-24811,ageA=1.3s,ageB=0.0s
2026-04-15T00:19:06.858Z,SOL/USDC,0.00152%,hi=ts=4,tickA=-24811,tickB=-24811,ageA=0.0s,ageB=7.6s
2026-04-15T00:19:07.020Z,SOL/USDC,0.00232%,hi=ts=8,tickA=-24811,tickB=-24811,ageA=0.0s,ageB=7.7s
2026-04-15T00:19:07.137Z,SOL/USDC,0.00345%,hi=ts=8,tickA=-24811,tickB=-24811,ageA=0.0s,ageB=7.8s
2026-04-15T00:19:07.143Z,SOL/USDC,0.00407%,hi=ts=8,tickA=-24811,tickB=-24811,ageA=0.0s,ageB=7.8s
2026-04-15T00:19:07.186Z,SOL/USDC,0.00976%,hi=ts=8,tickA=-24812,tickB=-24811,ageA=0.0s,ageB=7.9s
2026-04-15T00:19:13.137Z,SOL/USDC,0.00976%,hi=ts=8,tickA=-24812,tickB=-24811,ageA=0.0s,ageB=13.8s
2026-04-15T00:19:24.575Z,SOL/USDC,0.00975%,hi=ts=8,tickA=-24812,tickB=-24811,ageA=0.0s,ageB=25.3s
2026-04-15T00:19:29.494Z,SOL/USDC,0.01298%,hi=ts=8,tickA=-24812,tickB=-24811,ageA=0.0s,ageB=30.2s
# --- 2026-04-15T00:19:52.105Z | updates: 60 | pools tracked: 2 ---
2026-04-15T00:20:25.081Z,SOL/USDC,0.01298%,hi=ts=8,tickA=-24812,tickB=-24811,ageA=0.0s,ageB=85.8s
2026-04-15T00:20:35.336Z,SOL/USDC,0.02338%,hi=ts=8,tickA=-24813,tickB=-24811,ageA=0.0s,ageB=96.0s
2026-04-15T00:20:36.728Z,SOL/USDC,0.02338%,hi=ts=8,tickA=-24813,tickB=-24811,ageA=0.0s,ageB=97.4s
2026-04-15T00:20:38.281Z,SOL/USDC,0.02338%,hi=ts=8,tickA=-24813,tickB=-24811,ageA=0.0s,ageB=99.0s
